#;Especialidade;Vaga;Nome;Link
"1";"Finanças e Controle";"AC";"ARTUR ARAUJO DE MOURA FE";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"2";"Finanças e Controle";"AC";"CAMILA OLIVEIRA SANTOS";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"3";"Finanças e Controle";"PCD";"ALINNE PATRICIA DE ANDRADE CARVALHO E SILVA";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"4";"Finanças e Controle";"PPP";"FABIANE ALVES DE OLIVEIRA";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"5";"Planejamento e Orçamento";"AC";"SALVIO MEDEIROS COSTA NETO";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"6";"Planejamento e Orçamento";"AC";"ANDRE MEDEIROS FREIRE";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"7";"Planejamento e Orçamento";"AC";"RAFAEL TAVARES FERREIRA LIMA";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"8";"Planejamento e Orçamento";"AC";"MARCOS FELIPE DE ALMEIDA MARTINS";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"9";"Planejamento e Orçamento";"PCD";"ALINNE PATRICIA DE ANDRADE CARVALHO E SILVA";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"10";"Planejamento e Orçamento";"PCD";"LUAN FELIPE FERNANDES DE MEDEIROS";"https://dodf.df.gov.br/dodf/materia/visualizar?co_data=577830&p=decretos-de-04-de-marco-de-2026"
"11";"Finanças e Controle";"AC";"PAULO EGIDIO ALVES DE OLIVEIRA";"null"
"12";"Finanças e Controle";"PCD";"JULEMAR ANTONIO DE AMORIM";"null"
"13";"Planejamento e Orçamento";"AC";"CAMILA DE LIMA ALVES";"null"
"14";"Planejamento e Orçamento";"AC";"GABRIEL DORIA PARES BRUNELLI";"null"
"15";"Finanças e Controle";"AC";"ALINE AMARAL SILVA";"null"
"16";"Planejamento e Orçamento";"PCD";"PEDRO PAULO CARVALHO ORSANO E SILVA";"null"
